File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
3eb51a70-fec9-4f37-9f16-ac74229f68e9	79a4ab3c-e995-48fa-8d0f-1820158df969.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-HQ-A5ND	TCGA-HQ-A5ND-01A	Primary Tumor
9d85ecd9-deef-474f-8dca-7fbbee531e7f	0b53dfd9-579f-4cbc-aac6-f27eb4b03499.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-G2-A3IB	TCGA-G2-A3IB-01A	Primary Tumor
90fb6b38-0bc5-47ea-8142-d329503615fe	290f282b-9c2a-4eb0-b8a4-53194a439904.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-ZF-AA5N	TCGA-ZF-AA5N-01A	Primary Tumor
e6c6d387-dbaa-441a-a0d4-84e355926bcf	fa8bdc02-1887-4e10-a0e9-cf88c82fd9ae.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-FD-A6TF	TCGA-FD-A6TF-01A	Primary Tumor
ca6e88bc-2456-4987-beb0-d3700e7e71dc	d36ef1a3-11a8-457b-9f19-e4492fda83b0.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-GC-A3WC	TCGA-GC-A3WC-01A	Primary Tumor
f969aca2-3b08-4fbd-beea-82b5f1c7f981	bedb0c59-d4b1-4cdb-bfe6-f13c928604c9.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-4Z-AA81	TCGA-4Z-AA81-01A	Primary Tumor
bc89c589-8a4f-4df9-963b-9d7a2cdedbdd	530b8475-cdc8-47b0-9b04-14d421c1a8fb.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-G2-A2EK	TCGA-G2-A2EK-01A	Primary Tumor
57b8b640-efcf-426f-bc01-82c4c58ff02c	c5eccc1c-e821-4ceb-85ac-523347b8f1ab.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-GC-A3BM	TCGA-GC-A3BM-01A	Primary Tumor
07355e77-912a-458c-abb0-01533f5d4a9e	2277cc13-148b-4956-87b4-047d39159600.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-DK-A3X1	TCGA-DK-A3X1-01A	Primary Tumor
a4301a19-9d37-4298-bf6f-08d72f083e40	6fc19f55-118e-48f3-b13b-c056116a42cd.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-ZF-AA4V	TCGA-ZF-AA4V-01A	Primary Tumor
4d99171a-0545-4eb4-b99a-ee0d4db75920	5ee1b32a-49cb-416e-8cf8-b3d9f05489a3.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-XF-AAMR	TCGA-XF-AAMR-01A	Primary Tumor
d7340acb-9a98-4153-9766-a6748933441d	c38be472-422b-4769-b86b-8010c30f1181.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-GD-A2C5	TCGA-GD-A2C5-01A	Primary Tumor
d675b344-9a99-4ebc-8297-397bf1674e25	290e7c14-48b7-4d8f-be38-f1ed6349e1be.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-E7-A6ME	TCGA-E7-A6ME-01A	Primary Tumor
2df2d356-db5d-4c2c-b0e7-8ee7bc25e68c	c3b6e9cc-9c7e-4740-bf0e-022338d82160.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-FD-A3SM	TCGA-FD-A3SM-01A	Primary Tumor
5916b276-8e9d-41e6-8c41-3030c48cbdce	84fa87db-9895-44aa-89b6-d0e8339d5d71.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-E7-A8O7	TCGA-E7-A8O7-01A	Primary Tumor
5e5d8a76-04b4-4946-8715-6b61ac46783f	c5e802f3-95a1-49c6-a818-ceddefdc9b45.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-CF-A47X	TCGA-CF-A47X-01A	Primary Tumor
fdd30c10-1cff-49c4-8acc-a1fc9f3dda83	7a5071c6-97e3-4390-b147-2171d619f05a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-ZF-A9RM	TCGA-ZF-A9RM-01A	Primary Tumor
7b281a36-35de-4979-8684-b7399e9f7edb	678070f3-1e69-421b-b2fb-92397045610a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-K4-A5RI	TCGA-K4-A5RI-01A	Primary Tumor
f4633f46-6081-4ab3-a53c-9497df3c4616	37702812-40a0-40ca-9755-f2965a4693b9.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-GD-A6C6	TCGA-GD-A6C6-01A	Primary Tumor
a57fab5c-b3a2-46b8-be89-dbbd0444a2ad	85336ff5-d423-454d-8edf-bc97af9a5e29.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-DK-A2I6	TCGA-DK-A2I6-01A	Primary Tumor
4d356fe2-d8c0-4e7a-bc54-98887c7d0847	4ecaeb4e-2ca9-48d2-b2ca-95e6a2edd050.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-XF-AAMZ	TCGA-XF-AAMZ-01A	Primary Tumor
ad22b08f-0bc2-4bf3-96c2-9cb3d65c0718	f20c6e92-e31a-4081-8818-7c2c473fc5eb.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-GV-A3JX	TCGA-GV-A3JX-01A	Primary Tumor
4c98cba9-9640-4e1f-8ae0-292b5d74f8c1	2fec6abe-0299-45e4-9570-638e6b3266e4.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-UY-A9PA	TCGA-UY-A9PA-01A	Primary Tumor
0c1581e7-b516-4eae-83d6-e6b12d778be9	b210fae0-10e1-47a8-8623-a9dc4afc0e8c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-ZF-A9R1	TCGA-ZF-A9R1-01A	Primary Tumor
4355a25b-da41-4e70-8c23-1d5ddfdbf7ea	08158f6b-7051-4931-b2f3-53781b6fb73b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-4Z-AA7M	TCGA-4Z-AA7M-01A	Primary Tumor
5581bfdc-8192-4e79-bf83-0c61d504dc62	ae83a2ed-c86a-4b1a-bec5-d477568f67b9.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-4Z-AA7O	TCGA-4Z-AA7O-01A	Primary Tumor
4f9f672d-2d55-4500-a2ae-509b50fc134d	36c42169-c332-4aab-918c-9d6f032cc660.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-FD-A6TB	TCGA-FD-A6TB-01A	Primary Tumor
d8384652-223f-406d-ac4d-4bb0d668032c	c20e57e2-ea5f-4414-a5fd-7e54c65acb6d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-UY-A9PD	TCGA-UY-A9PD-01A	Primary Tumor
3e0cf0a5-3791-4baa-9adf-f5b752ea48a4	ed88c858-52d4-4895-a208-d4b4beeb2728.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-ZF-A9RD	TCGA-ZF-A9RD-01A	Primary Tumor
66db3c55-5648-44d5-893b-a3037e1c2f9d	7fc94e9c-ba0d-439d-8428-bd87c9307702.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-HQ-A2OE	TCGA-HQ-A2OE-01A	Primary Tumor
a1d27fd6-5666-4124-a317-a1f6cd2b2935	3c591b08-39f7-41d1-a79b-7de9073af8aa.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-G2-AA3B	TCGA-G2-AA3B-01A	Primary Tumor
cab65bb2-c00e-49b0-a7da-1096939debef	7623c404-a9fb-4ee3-8d98-cfa86f437d3c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-CU-A3QU	TCGA-CU-A3QU-01A	Primary Tumor
54d3e578-c36e-4a04-b3b8-d6e40de39c6a	65624a21-6b3a-46e1-bc5d-1fd0a071cb52.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-FD-A6TH	TCGA-FD-A6TH-01A	Primary Tumor
6f4576f3-571b-4e51-85d1-78ffeb174303	c6b551d0-8a78-4d28-a388-e1d8a810aebb.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-K4-A83P	TCGA-K4-A83P-01A	Primary Tumor
6cffeba2-09ae-44eb-8299-f16c1caba2cc	3f3cca50-7927-44c9-8c1c-34b4de9bd3e8.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-DK-A3X2	TCGA-DK-A3X2-01A	Primary Tumor
6b3b49fb-5c2a-4906-bc17-1710e0f823d5	60ec8fd8-1b88-49c5-bcfd-7ac3dd870d0e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-BT-A2LB	TCGA-BT-A2LB-01A	Primary Tumor
b5a579fb-51e6-47d2-b681-a4f5c75dadba	05777c89-4fc0-47b3-a87d-57f0df77ac22.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-HQ-A5NE	TCGA-HQ-A5NE-01A	Primary Tumor
a94c3c43-d23c-444f-b4d2-78cfa60aad3a	d5ed51f0-3df6-48a8-89d9-33f924ff8385.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-BT-A20R	TCGA-BT-A20R-01A	Primary Tumor
f263d517-208d-4048-850e-dbc477cedb92	369ebbb3-7aa0-41c4-86d1-0e5f05ac4a50.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-FD-A43U	TCGA-FD-A43U-01A	Primary Tumor
d8a8fb13-b8db-4294-8f50-1f3087020ee9	c90e28bf-85c8-44b6-ac21-2e8f8381a016.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-DK-A3IM	TCGA-DK-A3IM-01A	Primary Tumor
2660e6c6-b4c6-4d29-b048-4ce588b9e1e2	d0678e7c-068c-4dd3-a4a2-32589c18a57f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-FD-A3B8	TCGA-FD-A3B8-01A	Primary Tumor
96870eaf-bb4e-4896-87a0-b1e0d2078d73	a130dc20-7f8b-4074-a2aa-71abec8d1fc5.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-R3-A69X	TCGA-R3-A69X-01A	Primary Tumor
a4dbc388-4b0d-499a-82a8-77ca1aed53da	8652918d-bf8c-484b-9dd0-518424df879e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-XF-AAMH	TCGA-XF-AAMH-01A	Primary Tumor
5c773161-8a5d-4d0d-93b7-0f7d584350c8	cdf8a299-4e01-4334-8e08-ba983e5c86e6.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-ZF-AA4T	TCGA-ZF-AA4T-01A	Primary Tumor
4beaecff-c266-41a3-981a-27d9b049196b	934a9544-1fd3-4aac-9e5c-90a266d1f125.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-FJ-A871	TCGA-FJ-A871-01A	Primary Tumor
e474edea-089b-4b2d-9911-211514cc2629	9b75e7ee-8592-4a48-a374-83b84c8e1999.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-E7-A85H	TCGA-E7-A85H-01A	Primary Tumor
