File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
d6d294a6-caa8-49d2-87a3-73b0aff9e07e	b6f4b6bb-2940-44e2-9eed-e99a884975b5.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-GC-A3WC	TCGA-GC-A3WC-11A	Solid Tissue Normal
0494aded-dab8-4ad7-a884-ab4536520a6d	71b1b8d2-e2b9-44c4-a69f-636413267bbf.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-GC-A3BM	TCGA-GC-A3BM-11A	Solid Tissue Normal
6a8f129f-936b-40ff-a631-bf3df5473456	73a70b90-303e-4b69-8fa2-70e1c9c02402.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-GD-A2C5	TCGA-GD-A2C5-11A	Solid Tissue Normal
cc1b9d9f-e507-4067-8bfe-3162af3376ef	78c56f4c-27f9-4bd4-895a-889b90cc2d96.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-K4-A5RI	TCGA-K4-A5RI-11A	Solid Tissue Normal
c3fc2fca-efd6-46f2-8ec1-431758aff82b	399a103b-981e-4954-b0f4-5a4d02ed8827.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-CU-A0YN	TCGA-CU-A0YN-11A	Solid Tissue Normal
aa463feb-707d-4f3f-b8ed-ca51d0054302	1096b0ad-4633-4b9d-9583-a76f072d3384.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-GC-A6I3	TCGA-GC-A6I3-11A	Solid Tissue Normal
2cbb7e35-46d4-4370-82f6-8b82103806f9	6c6a6c79-2ae5-4d66-9143-6923ce62f7c9.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-K4-A3WV	TCGA-K4-A3WV-11A	Solid Tissue Normal
d11cd62b-2e3c-4f5c-9122-14ea55b8b1be	f987d3ec-3141-41ed-a5e0-d5561334d178.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-BT-A20U	TCGA-BT-A20U-11A	Solid Tissue Normal
fb8555db-257d-44e0-9bd8-42d6cb84a6cd	9883a7d3-4eb7-46ff-b5f2-2ae57437b152.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-GD-A3OP	TCGA-GD-A3OP-11A	Solid Tissue Normal
871e347d-aca1-4dd4-b8dd-85c1d5bbdfae	bf117faf-b716-420d-9b05-4513fd882ed0.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-BT-A20W	TCGA-BT-A20W-11A	Solid Tissue Normal
