File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
d3e953a0-3907-4c8d-bcf7-27767ef1e2d5	99b069de-d4dd-4c9b-89c3-8b50a59ea334.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-CM-4743	TCGA-CM-4743-01A	Primary Tumor
3d6546ee-5ed5-4c74-a62b-f3fb397e66c3	0801726c-9faf-4905-8cd9-71ad4fc3df25.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-D5-6931	TCGA-D5-6931-01A	Primary Tumor
ab176f75-6709-457e-af63-d2883ecb9be7	f023a945-da22-454b-83c0-49a67f6cf6a4.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-A00A	TCGA-AA-A00A-01A	Primary Tumor
dff97726-0d19-4c0e-bb91-009f543fb5e2	02c0aa6a-a7ea-4606-8449-7437df54802c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AD-A5EK	TCGA-AD-A5EK-01A	Primary Tumor
9e632342-a45b-4bd1-87d1-0e53a32f4c18	26251cd8-7e90-46bb-a025-1328d83c83ee.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-A6-2680	TCGA-A6-2680-01A	Primary Tumor
228b425f-ddc8-46e4-b246-41f4389b7a97	cfbdbfeb-7550-46dc-bd3b-bf85c4a14443.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-G4-6625	TCGA-G4-6625-01A	Primary Tumor
13cc094c-3724-45cc-8a98-650d0c7a695a	94e6fbec-4eff-4ea5-a815-540bfbc8293b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-A00O	TCGA-AA-A00O-01A	Primary Tumor
7389dfaa-fa36-431f-a3b9-960b4fb9d836	20ed86b0-2e3d-44ec-88cd-eac5486fe15c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-G4-6298	TCGA-G4-6298-01A	Primary Tumor
e119e5f6-aac4-4ccb-9cf1-78085f1821a9	0e1c98de-b4e2-4f42-beca-9948f867a46b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3842	TCGA-AA-3842-01A	Primary Tumor
61fdee26-e30a-4f49-a7f0-d5ceb7c28fd0	64935b9c-623d-40d4-bd89-f2af006b1f92.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-RU-A8FL	TCGA-RU-A8FL-01A	Primary Tumor
97fb41bc-f5a9-4b70-b631-9da9ff44b5fd	c22c07cb-8215-47e8-9525-074fda8d7d59.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-A6-3809	TCGA-A6-3809-01B	Primary Tumor
9c1722f7-0125-48c9-9951-71d7729d951a	4b6234cb-85ed-43bf-8eba-e26c7d0c1133.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AM-5820	TCGA-AM-5820-01A	Primary Tumor
2a9575e3-6fd5-46be-a101-3bbb3ba391e4	213f702a-56fd-4ab0-940c-a71e4e01b6f8.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-G4-6586	TCGA-G4-6586-01A	Primary Tumor
966b89c1-7201-4719-854a-d8a6ef35f9d0	f62519fa-7479-4e20-9ae4-d57f8a1e0e64.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-CK-4951	TCGA-CK-4951-01A	Primary Tumor
b8cb5dc2-3a97-4023-bbd8-1bcafbbc6dad	88a33f23-72a0-439b-afc7-2623c58eb1ab.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3660	TCGA-AA-3660-01A	Primary Tumor
f8e889d1-f5de-4f1e-af61-ffe68f5e98cd	c698e8a5-cea5-4d25-953b-674cf45b64d5.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-DM-A28E	TCGA-DM-A28E-01A	Primary Tumor
d343ce81-b7e8-4fe8-97a9-8dc632dd7b5d	8a0acec7-896e-4c91-8ce7-dc64de45b53d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-A01F	TCGA-AA-A01F-01A	Primary Tumor
2063302d-2b9d-4550-8426-fb64f5ea89d1	eb67b977-b299-4bbc-b3f6-25d516473405.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AY-A71X	TCGA-AY-A71X-01A	Primary Tumor
3456d4a1-bb29-4559-8c4e-c9b0e512fae3	52472301-36c6-4c99-97bd-b016d8a282d6.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3966	TCGA-AA-3966-01A	Primary Tumor
a666a0f3-e5ed-40b5-b425-5fe0190d30dd	3d6b96fa-5efa-4c8a-9a12-2718304252d4.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-A029	TCGA-AA-A029-01A	Primary Tumor
2c1b791c-1a1a-4b76-a819-6132bbdd3ed8	d333233b-e431-462b-ae35-c3b4c6ab3a40.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-NH-A6GA	TCGA-NH-A6GA-01A	Primary Tumor
18454d33-79e9-4bbb-a606-00c267fd9407	ffe7358d-31b2-4d92-93eb-0a88abaf2dca.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-CM-6162	TCGA-CM-6162-01A	Primary Tumor
df410102-8821-4bff-825a-c169897b3b99	518420d3-dfdf-4163-99a4-2b8d7a04056c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3955	TCGA-AA-3955-01A	Primary Tumor
c403bbb5-2dae-4004-a088-acfc29bca2d2	e5ae4a47-9a0d-4a70-a7be-40bddeb3d017.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AZ-4615	TCGA-AZ-4615-01A	Primary Tumor
80f240dd-0e19-47f3-a454-60bf0f1e0d71	be971158-ffec-4142-afc3-4ea3164fa86c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-A01G	TCGA-AA-A01G-01A	Primary Tumor
