File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
eb39fa39-ad3c-406f-b6dc-86b68419877d	1192c1a7-ec36-4f8e-bfbd-67071eb044af.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-A6-2680	TCGA-A6-2680-11A	Solid Tissue Normal
ee9a460d-1b5e-451e-8b4b-7608a21f093d	c1b43ace-3691-4c64-9fb1-4c1e94735b1e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-A6-2684	TCGA-A6-2684-11A	Solid Tissue Normal
b97a37c0-eda8-44c5-9bd2-606a708bdb75	e43b6eca-df42-4a5a-ba4f-48c8a2eb1df5.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3518	TCGA-AA-3518-11A	Solid Tissue Normal
dc0b07cb-49fb-44d0-b4d0-e99d50532d6d	c0529681-133f-47a6-bb6d-cd10c738524b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3655	TCGA-AA-3655-11A	Solid Tissue Normal
bdb54e47-4d66-4ca2-9709-e17c808c606f	c4438838-dcf9-47bb-b796-4a37dbfa369b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-A6-5665	TCGA-A6-5665-11A	Solid Tissue Normal
b315758e-62d1-408b-9510-fc0a4294f7ec	7f9dadec-d447-41be-a192-637ce36467da.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AZ-6601	TCGA-AZ-6601-11A	Solid Tissue Normal
2315807c-35c4-422a-bf00-91b366d53113	3168d3ce-487b-4834-8370-ce8b73fc39ce.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3489	TCGA-AA-3489-11A	Solid Tissue Normal
f15bfb93-71dc-4593-9ef4-e5e909a8fe64	51b2184b-d837-47df-b157-8759c5fa2101.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3525	TCGA-AA-3525-11A	Solid Tissue Normal
9320a7d1-3c17-40a9-b632-defebb42b351	86912ac6-a602-492c-8d84-037c9fd614de.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-A6-2685	TCGA-A6-2685-11A	Solid Tissue Normal
477b8769-8e6d-408d-a1d6-a57ece08fb9a	45bb01dd-5506-42f2-9093-3ea378bec587.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3511	TCGA-AA-3511-11A	Solid Tissue Normal
1cdc3d1e-a447-4a23-a649-d1678f1cae0d	a0f02bbb-02ca-4da7-b35f-648ec72cc65c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3534	TCGA-AA-3534-11A	Solid Tissue Normal
5f4a46f3-0fbe-4521-ab43-20bcb15793f1	42b88263-95a0-43fb-b7e4-a840df8d4a92.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3663	TCGA-AA-3663-11A	Solid Tissue Normal
