File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
9eda745e-b182-4611-a4a6-242db8a07337	0269349e-aab4-459d-8a8b-99534c01c90e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-D6-A4ZB	TCGA-D6-A4ZB-01A	Primary Tumor
69252a54-bbd0-4e93-a936-6dcb920acfb3	d1d934ef-2e6d-4d28-8418-9a0b5ef66c0c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-7435	TCGA-CV-7435-01A	Primary Tumor
5c257396-c22c-4846-9fcc-a8ef1915998b	5bf0c22a-d47f-4b0d-9d43-760fcaa1b42c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CR-7370	TCGA-CR-7370-01A	Primary Tumor
a6d8ea07-b43b-491b-8acd-09f57c4b3a3b	963cb78b-6480-453f-9f62-d92c205f034a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-HL-7533	TCGA-HL-7533-01A	Primary Tumor
5dad89d3-a15a-4dcd-9b91-77f824f343bf	d1c3a993-a9b3-4938-949a-a38793413139.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CR-7398	TCGA-CR-7398-01A	Primary Tumor
a7f46029-9c1a-49bd-88ab-61664e345f97	de53dd9c-416a-492f-89bf-a79866fd3f2d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-A464	TCGA-CV-A464-01A	Primary Tumor
041aeb93-f142-40c9-a878-2a10d3d1d2cf	054bcc02-0463-4a2f-94a7-b268c15a47d4.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-7416	TCGA-CV-7416-01A	Primary Tumor
f97ae484-c4fd-4253-896e-3e3f96471f05	b92a6b85-da4b-4ce0-bc1e-fd8908f1edba.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-P3-A6T6	TCGA-P3-A6T6-01A	Primary Tumor
84d1f1cb-ff06-4cc7-9866-67d738bac419	eb102931-4d5d-469d-82bb-187c6e81d6fb.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-A45R	TCGA-CV-A45R-01A	Primary Tumor
00493cfb-cfcf-4994-b4f4-3f1ff94e21f8	6d1ffd0c-ba13-463e-b5c4-20d2dab6294d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-A463	TCGA-CV-A463-01A	Primary Tumor
c013ba53-35bf-4b40-a744-21f390303dee	6a4d9398-65fd-408f-b92f-def4db9c362f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-6433	TCGA-CV-6433-01A	Primary Tumor
