File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
cfaeedcf-6198-463b-9724-8242131456d9	216a4f94-89f2-4369-a12d-ec57d92adbae.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KICH	TCGA-KL-8332	TCGA-KL-8332-01A	Primary Tumor
05f5d36d-3f71-4d9c-9668-7dce66f48cd9	a8440ee0-f9a0-4638-9be1-ae0800f18e32.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KICH	TCGA-KN-8427	TCGA-KN-8427-01A	Primary Tumor
f65e0c6a-05c4-409b-a446-85b90671c06e	9ec7c4f6-5fdd-4307-a5a9-b93a18e03ee0.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KICH	TCGA-KL-8325	TCGA-KL-8325-01A	Primary Tumor
55cd194a-fdbd-4843-8d36-265c1a92ee34	4d073a99-e8f9-4095-8436-7db1c554a0fe.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KICH	TCGA-KO-8407	TCGA-KO-8407-01A	Primary Tumor
5c303083-6853-4f1f-b341-b7f4580a0129	58efbb4c-e813-44bc-b237-0448477575bc.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KICH	TCGA-KN-8431	TCGA-KN-8431-01A	Primary Tumor
7f8ab784-42a6-4ab5-ad93-8afec6d40648	1c10a512-7101-4413-97e5-609216ede706.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KICH	TCGA-KO-8408	TCGA-KO-8408-01A	Primary Tumor
40691994-0e0c-4279-aede-a16d5e68eae8	8bfb45f6-9b80-4464-ba3e-10b3ffe6927b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KICH	TCGA-KM-8438	TCGA-KM-8438-01A	Primary Tumor
ad201166-65b3-4363-9efc-423444184522	0ce8a489-d153-4067-bd71-c4bcd53bb7f8.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KICH	TCGA-KL-8336	TCGA-KL-8336-01A	Primary Tumor
32ae3205-336a-4331-95ef-659e7174a269	9b034b19-e9a5-4550-b2b5-9b6886c657f1.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KICH	TCGA-KL-8342	TCGA-KL-8342-01A	Primary Tumor
313f5ebe-36bc-45de-84a3-93f8e27563c1	552b8b99-bd4e-4a81-99c8-b603c9678012.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KICH	TCGA-KN-8434	TCGA-KN-8434-01A	Primary Tumor
