File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
1fbf38d0-bc11-4d81-81a3-2a558afa4db5	e7ecb3a4-a955-4aba-a369-7c21e85779ab.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CZ-4862	TCGA-CZ-4862-01A	Primary Tumor
9848e118-7372-41e5-8c64-71ec86c9c563	db8c4894-8622-4ab5-947e-bee473b47c96.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-A3-3380	TCGA-A3-3380-01A	Primary Tumor
b766e689-e3ff-4d0c-8eb0-d81c1df638d4	df73d40c-8630-4922-9a5f-eb2a45b94efc.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B4-5836	TCGA-B4-5836-01A	Primary Tumor
3f22ab0f-057b-4d34-8722-63ec8c8d1d33	b7a978df-db12-4e0e-a720-0a03f753d239.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B8-A54D	TCGA-B8-A54D-01A	Primary Tumor
ed4e33b6-e610-40f6-a9cb-68d27b24b7ea	1b42fc61-0ec5-4da2-907e-39388ec70382.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-4771	TCGA-BP-4771-01A	Primary Tumor
b8a61143-0c20-4db9-a4fd-9c8b375ba841	1010820f-5cf6-4e90-82d9-f4bfc7299217.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B0-4823	TCGA-B0-4823-01A	Primary Tumor
adc843d6-31ae-4803-ace4-48d1c198a8bb	af2ab584-0e7a-4eb0-95a9-232e628f3bcd.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-AK-3434	TCGA-AK-3434-01A	Primary Tumor
06632416-4901-4939-b250-35cd1b8b8323	a8776da2-d821-41c3-8530-0bbb29536a43.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-AK-3429	TCGA-AK-3429-01A	Primary Tumor
f7a5094f-fea0-4ddf-ac40-8265cddbabc2	bd21b41f-1084-43b9-8554-841e58ce6b95.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-4765	TCGA-BP-4765-01A	Primary Tumor
f98a1953-c008-4ab9-a17e-be80b5fd43fe	e3b90eb7-f2a5-4b9e-a15e-ccfd7e6431d2.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B0-5104	TCGA-B0-5104-01A	Primary Tumor
a059cc98-e8d4-4428-b326-ac59b5445f67	562609cc-970c-4535-a6d7-aa7a380c8340.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-4332	TCGA-BP-4332-01A	Primary Tumor
8eb67e14-ab2d-4d8c-a945-fbdc6ad6a7be	c1b13e89-976f-4aff-9bff-054118b30b92.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-5168	TCGA-BP-5168-01A	Primary Tumor
d6a8b3be-0ea5-4d4f-bf62-27ec684d4705	21aaa4c9-e933-4e64-b3d9-8d2d1b9a9ea6.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B0-5400	TCGA-B0-5400-01A	Primary Tumor
cd6333d6-6973-4278-8c7d-ad89e71bd508	f6d0e395-2af2-4d6c-9c75-d693ff742fa4.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-5202	TCGA-BP-5202-01A	Primary Tumor
396123b0-8914-42db-a9f3-4fdf987c5faf	ee899e2d-7689-4327-9886-a73160ffc702.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B0-4846	TCGA-B0-4846-01A	Primary Tumor
c0dc2255-258a-463b-bd10-f6ee1771860d	001cd1f1-f1d1-45c5-bf3d-62f4a40ab1f8.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B4-5377	TCGA-B4-5377-01A	Primary Tumor
7947afe8-e62c-4d32-81d6-5eb44fd1cea6	742d5f44-39ea-43c1-8b3c-428142ed4c8f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-4177	TCGA-BP-4177-01A	Primary Tumor
dcead401-3e21-4718-9ce1-863177be3f10	288cad88-f92f-4e58-824a-7c352838643e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-5194	TCGA-BP-5194-01A	Primary Tumor
1b242926-e8c1-4f9b-88fa-40211585207e	98967392-eeb4-4c7f-8578-1faf0e5dc3d6.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-4334	TCGA-BP-4334-01A	Primary Tumor
831bedf9-e67d-4a2a-b0a7-6d6c92edf77a	827a8cb3-423c-471e-abc6-c62329a5ec16.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B0-4814	TCGA-B0-4814-01A	Primary Tumor
98ca487a-a503-459a-8665-11a3caf8bce5	e7face74-33fc-4183-ac7f-d38af1dbc54b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B0-5697	TCGA-B0-5697-01A	Primary Tumor
2e5ca57e-8530-43b5-806f-8915d421552f	6cc17f1f-5acf-4b48-b919-56b9db01f3be.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CJ-4869	TCGA-CJ-4869-01A	Primary Tumor
a3c824d5-5d92-453e-820b-bf879fa38e59	64647547-2b18-4a7c-8135-e18b5a14bea6.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B8-4620	TCGA-B8-4620-01A	Primary Tumor
