File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
ba6dfcd5-be76-481f-9e8e-19421cf23695	11da21cd-5029-491e-b7a1-d6f4d9306f3e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CZ-5463	TCGA-CZ-5463-11A	Solid Tissue Normal
34bd0526-91b2-4b99-a33b-5d4bc8c68d39	e501f4c1-736f-469d-b7f3-fb03a3b96b86.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CZ-4865	TCGA-CZ-4865-11A	Solid Tissue Normal
58eee6a5-aaae-486e-b4ec-ba191af5fcb5	f637da65-d455-440f-8342-47b6a3c3d189.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B0-5690	TCGA-B0-5690-11A	Solid Tissue Normal
8c2d01a0-7df8-465a-9739-b25d96f98ddd	516b3755-74d6-4a8a-90c1-90097a61f63d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B2-5641	TCGA-B2-5641-11A	Solid Tissue Normal
02c1c266-473f-437d-b768-20f685349ecb	8a31c02d-a429-4d4e-a461-8024bea95b1a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-A3-3387	TCGA-A3-3387-11A	Solid Tissue Normal
8e10e799-ae5c-49f7-a249-2d16d796066c	dfd48886-e56e-4361-b080-342e1ff7e84a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CZ-5455	TCGA-CZ-5455-11A	Solid Tissue Normal
828b7513-8452-4541-8576-8c2f66e79892	658d6096-cbc1-4bb1-988a-465b3e54b94c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CZ-5457	TCGA-CZ-5457-11A	Solid Tissue Normal
8ceb5f0b-cbfb-400d-93b8-df005bb46e31	054f5722-e1b9-43bb-9746-5c29be04a5a3.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B0-5711	TCGA-B0-5711-11A	Solid Tissue Normal
24f43a2c-0df0-464c-a4ef-80be1aa203df	4010f503-1d92-4e60-b9e0-5da0bab1fe76.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CJ-5679	TCGA-CJ-5679-11A	Solid Tissue Normal
18913801-b38a-4439-8b34-25a7138e8fdd	c2fc96b4-551d-46ff-bd1d-65e1a8c5df2a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CZ-5984	TCGA-CZ-5984-11A	Solid Tissue Normal
7437d3a0-976d-4151-8f89-b30a4a092a60	b649c743-c5bd-4c00-a6dc-422021ac538e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CJ-6033	TCGA-CJ-6033-11A	Solid Tissue Normal
a2c1332c-f9e9-4d41-bad5-e58ebf809800	be992b6a-3878-46dd-8e18-9fd0ee7e7b00.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CJ-6030	TCGA-CJ-6030-11A	Solid Tissue Normal
2fb6d7bd-f6df-45a4-b8a7-8de33119d52f	bfeb8843-342b-4369-bbf2-55534c3f1bbf.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CZ-5985	TCGA-CZ-5985-11A	Solid Tissue Normal
200dfa9f-ed6f-4434-9dde-7833f4d3b275	8283ab27-1a92-41f4-af55-6c115308d5bc.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CZ-5466	TCGA-CZ-5466-11A	Solid Tissue Normal
213b2ef0-57cb-4fa3-9d56-2bda451006c9	5f580a37-a7b6-495f-b2a0-aea58c4d303a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B0-5709	TCGA-B0-5709-11A	Solid Tissue Normal
61e2977f-ac86-4a5a-819d-3fba1af9253a	863db1ca-ce1d-4e62-b81a-0282b832447f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B0-5703	TCGA-B0-5703-11A	Solid Tissue Normal
dbe50f57-74d7-4b5f-a996-dfc8d9874d55	12bba991-4912-435f-b6ad-e4814e79fe98.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CZ-5453	TCGA-CZ-5453-11A	Solid Tissue Normal
