File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
9c2fb2dd-64eb-49e3-af9f-b0433b419b8e	880ab7e2-4710-4729-a928-5c519c47ef77.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRP	TCGA-WN-AB4C	TCGA-WN-AB4C-01A	Primary Tumor
01eec09c-7007-470f-b4ab-7ea329db082e	e8c97501-d59d-43c8-8b2b-6bb31635e929.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRP	TCGA-B9-A5W8	TCGA-B9-A5W8-01A	Primary Tumor
d897497b-fbff-4ba1-9810-a630ab439410	687d2cbd-3c3d-458e-a060-8340b9008bac.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRP	TCGA-2Z-A9JQ	TCGA-2Z-A9JQ-01A	Primary Tumor
c6316932-6aa4-42a9-8e17-1be5449f68b7	176e2fa9-8ec3-45a7-bfc9-778f5c9cbc55.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRP	TCGA-2Z-A9JE	TCGA-2Z-A9JE-01A	Primary Tumor
45008b79-fdba-4846-88e2-b588416f51f2	16ffcf18-691e-4523-a245-82aa10f2062a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRP	TCGA-SX-A7SS	TCGA-SX-A7SS-01A	Primary Tumor
13c4fe29-094b-474a-a7f6-32c20f4308be	b73dc603-9e00-495e-b9ef-d1f69ead2561.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRP	TCGA-B3-4103	TCGA-B3-4103-01A	Primary Tumor
686ce8e4-7a1a-42ec-b622-eddbbbb96d89	3c16e466-9734-4c78-845b-773aa7ab3651.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRP	TCGA-HE-A5NI	TCGA-HE-A5NI-01A	Primary Tumor
74b2ed96-b0d3-4ac5-8fa0-52f3f34ba07f	9abd5b81-836b-49c8-a442-8479ebf63eb5.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRP	TCGA-5P-A9K9	TCGA-5P-A9K9-01A	Primary Tumor
86c7d3f7-e12b-44de-a1ff-22ec446f2cdb	2d050c57-46a9-4e05-8818-f71a6020b278.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRP	TCGA-SX-A7SN	TCGA-SX-A7SN-01A	Primary Tumor
4f983f8e-7a9f-4bf9-9392-836ef579d69d	b009bc0d-4f86-4dfa-9c59-2749469f7c9a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRP	TCGA-2Z-A9J7	TCGA-2Z-A9J7-01A	Primary Tumor
80ae8587-db0d-495d-ab0f-1dcf55459c99	438aa39d-2663-4730-8e4d-879d3ba12eb7.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRP	TCGA-2Z-A9JD	TCGA-2Z-A9JD-01A	Primary Tumor
