File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
fd229d04-f96d-4e4f-bef7-24bbb9e1fffc	14e1be2c-29eb-4d35-b813-c29d85b096c4.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-CC-A5UC	TCGA-CC-A5UC-01A	Primary Tumor
caa31405-d6b1-467e-849a-b5c97f674e6a	22b6bbde-8db5-4df5-bf7c-1a626851e3f5.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-DD-AAEI	TCGA-DD-AAEI-01A	Primary Tumor
aeab8782-8817-494f-8566-3fde7d8ed88d	19dc74d9-a307-4991-8723-a570de15858d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-G3-A7M6	TCGA-G3-A7M6-01A	Primary Tumor
704376d7-9bd9-4097-bb4e-60ee92241481	7b5d9241-4c32-4957-bfb5-d9bc4f711ee6.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-DD-A1EL	TCGA-DD-A1EL-01A	Primary Tumor
381f27e4-5056-4fae-9f32-1e5d210f5d33	6d0497fb-e6ce-48d7-81a3-f8f40e31744b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-DD-A4NB	TCGA-DD-A4NB-01A	Primary Tumor
283e4191-59da-4caf-99a3-385a3ea74607	f5092ee7-2656-4aa5-b0c3-884aadb9dbf8.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-DD-A39Y	TCGA-DD-A39Y-01A	Primary Tumor
541260c2-5f9f-459d-9a49-df55b62fba90	ee667570-d3c6-4906-980d-5ff7a66f521d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-DD-AAC8	TCGA-DD-AAC8-01A	Primary Tumor
c5a36c36-b9eb-4d09-94bd-9b7b6b0b992e	d6cf34c3-a7ad-4dfd-92ee-b2b689515471.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-DD-AACG	TCGA-DD-AACG-01A	Primary Tumor
c55ad7ab-27f1-49b5-844c-00daa90a9e55	14e80841-cfb9-42fb-9cae-db9f282ba4fd.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-2Y-A9HA	TCGA-2Y-A9HA-01A	Primary Tumor
1e1587e8-8938-4578-8529-0831573a9fe1	a5b5b737-3f68-49a0-ac50-2884dbb90496.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-DD-AAVQ	TCGA-DD-AAVQ-01A	Primary Tumor
7d22b54a-47ae-49de-bc78-909ac1bf4c63	84e50732-46c9-46c4-9619-1bb14f5205ae.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-CC-A3M9	TCGA-CC-A3M9-01A	Primary Tumor
197e7163-1a47-4712-990a-645bd39507fd	eb81efb0-22be-40ad-93a7-1379c09169fb.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-FV-A23B	TCGA-FV-A23B-01A	Primary Tumor
5cbb4d1e-10f5-447f-b1e0-18b45c86bb98	be4a42fc-e668-44f5-83aa-7976a664490f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-DD-A1EJ	TCGA-DD-A1EJ-01A	Primary Tumor
845b36d6-842d-4467-a59e-b7d9272a47b1	1523dcd5-18e0-464b-a443-eaa98da5f9aa.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-CC-A5UE	TCGA-CC-A5UE-01A	Primary Tumor
3a826c9e-9966-4bbf-8ddb-e34f3c71381f	2cdf0703-60ea-4ffb-aa2f-808a40d4815a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-DD-A4ND	TCGA-DD-A4ND-01A	Primary Tumor
ebd7bdc4-c7c0-46c4-835b-8afc2a6c2615	65d83cea-ef9b-4148-88c5-c09192289e83.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-DD-A4NV	TCGA-DD-A4NV-01A	Primary Tumor
2a986418-6f8a-4c4c-93a1-5e1abf69057b	5d220ed4-22c2-4ff1-b597-3822204d57e7.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-EP-A3RK	TCGA-EP-A3RK-01A	Primary Tumor
678a19cb-a88c-4093-b6b5-07c63237c42b	6cae08b5-33e9-4a0c-b399-3bc723f6e10f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-DD-AAW3	TCGA-DD-AAW3-01A	Primary Tumor
ed8eb2e9-ef8f-4b72-9c01-3504a578b500	5929f6bf-85f8-4b79-ae2d-c5cddf2a9ed1.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-DD-AADD	TCGA-DD-AADD-01A	Primary Tumor
