File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
129f7ee5-6342-4a24-9317-d52462ce6a70	059b5dc1-45f7-4d7c-b07a-878b6db6d881.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-78-7156	TCGA-78-7156-01A	Primary Tumor
3cd897bd-893e-4497-b9a5-56141816cff4	525e9185-ed15-403d-8987-93c50e4b89a1.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-6774	TCGA-44-6774-01A	Primary Tumor
36432508-6673-489b-aefe-d172b83abac2	00fabec9-d311-4994-a7e5-eb91178d14f2.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-69-A59K	TCGA-69-A59K-01A	Primary Tumor
e8da0b02-8b75-4a85-b91a-6f8d1582a95c	af649713-fb41-496a-a94b-3691d202c1c8.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-2665	TCGA-44-2665-01A	Primary Tumor
864c2830-c699-433c-bcba-20f0c692854a	aa764c7d-2e26-4e8c-94d3-870772bad93f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-A490	TCGA-55-A490-01A	Primary Tumor
215f38d1-a17c-4189-97f6-ae20361b0f3f	fdd9f9f1-8b02-4b83-a8f6-f28f968bdf54.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-7816	TCGA-55-7816-01A	Primary Tumor
9a6d8661-241e-4a3e-a6fa-e2eb1962b758	ee030015-242a-4dd1-b43c-2c97d5d365d9.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-6147	TCGA-44-6147-01B	Primary Tumor
fe20855f-d3ce-4e02-b2dd-3df15eab44bf	564e41d6-f9a4-4a6b-bb97-f8e5423b84bd.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-69-8453	TCGA-69-8453-01A	Primary Tumor
ba8aebd8-07de-46c0-a28f-b2408c36f07f	77b82c3f-e20c-4e3b-a55c-08af359bbb6e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-2665	TCGA-44-2665-01A	Primary Tumor
e37ffff5-f795-4ca9-b46b-f59344db48af	4a967e6f-d39a-4fe5-864b-a43e8184a852.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-49-AAR2	TCGA-49-AAR2-01A	Primary Tumor
577f10d0-c9a2-47c3-aa2f-b1bd5bd86d90	3b21349a-ee41-45bf-87de-19b6cda494d5.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-69-7973	TCGA-69-7973-01A	Primary Tumor
8b55c916-963b-41d6-b7ce-7e8ccf958c80	72726dc4-fa08-4e34-9539-29ddb19dd782.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-49-4501	TCGA-49-4501-01A	Primary Tumor
e20ecad8-f22d-4e2d-99af-bc1be98c5128	085fd4df-27f7-4680-a0b5-8726f9eab370.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-49-4512	TCGA-49-4512-01A	Primary Tumor
