File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
3f441cc8-98bd-4650-b5ad-19ae8542b666	a27393cf-e1e1-427f-9a96-40e2ab1af0d1.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-91-6829	TCGA-91-6829-11A	Solid Tissue Normal
bd98b566-f179-4be8-8b4d-672149eedcba	32ff57d1-3fde-461b-be45-e49365149543.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-6145	TCGA-44-6145-11A	Solid Tissue Normal
a71c722c-3483-4910-926d-c79b6c9a4e7d	87bac569-d647-4a76-8e33-6ce085888138.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-50-5933	TCGA-50-5933-11A	Solid Tissue Normal
9c7f6057-8225-4447-adb3-aed12aa974ad	b277d25a-5485-465a-bef3-db30dc75caa8.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-49-6744	TCGA-49-6744-11A	Solid Tissue Normal
efb3bf8d-7d14-42d6-8845-e81af909d47f	21893490-77c4-4bc8-b8ea-0a5f16762f6b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-6146	TCGA-44-6146-11A	Solid Tissue Normal
46ef57a2-e2ce-4ffe-9ce8-c043c6065863	31a238a8-4238-4d56-aac5-4769ce173664.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-6983	TCGA-55-6983-11A	Solid Tissue Normal
e4988cad-67b9-41a6-9640-2226d6b7424a	050f4ef1-e774-490e-9450-8f2d473b1a21.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-73-4676	TCGA-73-4676-11A	Solid Tissue Normal
2d99f93c-797e-49a5-8892-a4e31e17b9c3	290ad2c0-6aeb-4eba-b3e7-fc47e8bfbdce.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-6778	TCGA-44-6778-11A	Solid Tissue Normal
a6298ad5-dd68-44f6-85cf-f1d2c7673aa3	a126e83e-3907-487d-901a-4cfb91d5807a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-6777	TCGA-44-6777-11A	Solid Tissue Normal
75473987-65e2-43eb-a5bb-04cb7a40c902	06f0836c-ae3f-4c83-bb20-a5a74796bb11.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-50-5932	TCGA-50-5932-11A	Solid Tissue Normal
b6d704be-2e8f-40cc-9c09-ffde6be5c814	9ef1e12b-70d8-482c-b75f-6c69afd6e2ff.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-91-6835	TCGA-91-6835-11A	Solid Tissue Normal
9f01664c-19be-4841-afb4-297483d22ec8	e3955555-9663-49da-bb98-f6593eb74d7f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-91-6847	TCGA-91-6847-11A	Solid Tissue Normal
5d65e761-0cb3-4e52-b14f-79be5850dba4	8f55fdd2-25cb-40dc-809e-2ddbdadd34c3.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-3398	TCGA-44-3398-11B	Solid Tissue Normal
f8cee5c6-bfd7-439d-8ba7-20ee2dfa5d68	d03bc7a9-49d4-48f4-8a3a-00197325cde2.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-3396	TCGA-44-3396-11A	Solid Tissue Normal
89bdfb20-8991-4bc4-b112-6e9be096b566	4f332295-b93c-48bf-8125-3a1539a03742.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-6970	TCGA-55-6970-11A	Solid Tissue Normal
2ff24c33-39c6-4171-af42-f54e4ee8b021	2f93d52a-e8ab-454b-ae76-74b35cd561da.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-50-5935	TCGA-50-5935-11A	Solid Tissue Normal
bb64143e-c48a-45c7-914b-4ec5bcea9e27	de6f3bfe-6e91-4894-a826-67ebf147a6f0.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-91-6849	TCGA-91-6849-11A	Solid Tissue Normal
4756b201-87c2-4428-b2cd-f933422fe8cf	b4dff9fc-6dab-42bc-8d32-7143e0d94043.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-6148	TCGA-44-6148-11A	Solid Tissue Normal
bdae198f-aedf-46cc-8156-c1ec37eac88f	9c36a1ac-944e-49d4-888c-bfffc20a4ba6.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-6147	TCGA-44-6147-11A	Solid Tissue Normal
55831884-c907-457d-bb2c-7c7b3f7c4cd1	c7fd0bf8-753e-45d6-b987-51ec7559f728.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-2668	TCGA-44-2668-11A	Solid Tissue Normal
