File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
5abfa1bf-f3ad-4e7b-878c-5df4e03c8cdc	6669292e-fb65-427d-b2a4-7c9366e9e043.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-CESC	TCGA-HM-A3JJ	TCGA-HM-A3JJ-11A	Solid Tissue Normal
3be772ed-21fa-4d87-9e58-fc9f9b7b9323	8fa46159-7340-44ad-894f-f611ecead93d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-37-4133	TCGA-37-4133-01A	Primary Tumor
5c245ac1-a5d7-4c07-8b74-fafba8fc9e5d	8c0cab37-8256-4d01-bd3f-a888514986bc.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-63-5131	TCGA-63-5131-01A	Primary Tumor
393a1776-5f0b-4411-8266-5687be14dbfc	90e56bb7-5403-42c9-b5c2-aad34578cc82.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-18-3407	TCGA-18-3407-01A	Primary Tumor
3aa53aa2-97cd-43a8-b7b1-09f0bf6381dd	db34e8d7-edf2-4fb2-a261-75cf0a84e506.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-22-4607	TCGA-22-4607-01A	Primary Tumor
586ef291-7051-40be-80a1-8049e5433202	ae3a62aa-c484-4ab2-999d-911179fbfd4d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-68-7757	TCGA-68-7757-01B	Primary Tumor
966cba2c-ca26-4861-8ed6-d6682511000a	37926dd6-7398-47e4-b62e-d673ec619ea9.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-90-A59Q	TCGA-90-A59Q-01A	Primary Tumor
aa3501a9-217b-4d3a-8dab-0fb359728726	b039b20f-5532-41b4-a92e-b48bc87f89c1.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-18-3419	TCGA-18-3419-01A	Primary Tumor
1de6bf50-8b9e-48ca-a396-3ca7e3ea0572	7701440f-17b4-47da-a070-d11afd94e9ae.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-77-8133	TCGA-77-8133-01A	Primary Tumor
550ec5d4-6618-4882-a783-be48163b6c30	4bd3c03d-fcde-414c-b2b4-06041c4070a2.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-58-8386	TCGA-58-8386-11A	Solid Tissue Normal
d29660d3-b3f7-4186-8c71-bebbabee600a	4a97b05e-92d4-49c2-92b7-e2959bc3baf2.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-56-8309	TCGA-56-8309-11A	Solid Tissue Normal
02a9936a-363e-4874-8f97-715a117973bd	b605621a-61c1-4542-b6c7-3f4729e68b9f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-92-8063	TCGA-92-8063-01A	Primary Tumor
10acdc61-cf73-4187-a6d2-f7d2e1565cec	28f4a0c0-3ded-487c-9f16-64c551e39886.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-98-8020	TCGA-98-8020-01A	Primary Tumor
09152b74-f690-4dbc-a398-1f8dde28ec06	868bc289-3c43-4a0f-bbb1-703f0e9fa33a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-60-2715	TCGA-60-2715-01A	Primary Tumor
5dad1e97-fad2-4865-90fd-baf08a0b0c53	5ac5e409-ce51-4c5d-906c-7f7612f6d0a4.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-39-5036	TCGA-39-5036-01A	Primary Tumor
26b89c7e-5fef-470d-a906-e383065b7a04	576e6d35-680d-46c3-bfc6-1ec3121da777.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUSC	TCGA-66-2782	TCGA-66-2782-01A	Primary Tumor
