File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
1f078ee7-935c-403e-97d9-30e0154b0d99	7ce28757-6dc2-459f-aaa8-cf41edb29403.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-EL-A3GR	TCGA-EL-A3GR-01A	Primary Tumor
7cb32fbc-433f-407c-b961-c0daec3493cc	0d302f47-9701-4250-a15d-40cb20e4263b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-BJ-A0ZB	TCGA-BJ-A0ZB-01A	Primary Tumor
b31797e5-980c-4cb3-8b68-a789010429c0	67bd1757-bb7f-43a9-b767-593f4174a253.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-BJ-A28T	TCGA-BJ-A28T-01A	Primary Tumor
809b87f7-fa1d-42b3-a7f0-cdc7655b82ed	aaa80628-2001-4036-b7be-0f9a4e631396.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-DJ-A3VM	TCGA-DJ-A3VM-01A	Primary Tumor
6bff8094-15ca-4e0d-b7e7-e4495a7a1356	c6510895-2f60-48e3-9e57-f78391ac6fa7.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-DJ-A3VL	TCGA-DJ-A3VL-01A	Primary Tumor
2dd13bb4-aea4-484e-9041-9b0ae0034ed6	29141e2e-357c-4f1d-96f6-df4f05808ed2.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-BJ-A45J	TCGA-BJ-A45J-01A	Primary Tumor
61318cee-0f35-486f-89a9-b3d4489d04fb	a33e3c85-eb04-45be-b1c7-1d339fae8313.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-E3-A3E1	TCGA-E3-A3E1-01A	Primary Tumor
d42959b4-b74d-4407-ba26-75e160e9a577	c808ecb9-ccef-46c1-a7e8-e28ab1b749a7.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-DE-A4M8	TCGA-DE-A4M8-01A	Primary Tumor
753da851-1965-4631-97d6-155134a05629	60b25eb9-b7ef-4cc7-b7c3-c06712a087cb.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-J8-A4HY	TCGA-J8-A4HY-01A	Primary Tumor
e06c93e0-2b30-4874-a595-60de8b5c3954	705148bd-112f-4c97-ba1b-d71ab3e757f9.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-DE-A4MC	TCGA-DE-A4MC-01A	Primary Tumor
bf352928-1ea1-480e-b2ff-ef6ac76c5af2	1e27af56-7990-4dda-85b8-6c41071b79ce.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-ET-A25L	TCGA-ET-A25L-01A	Primary Tumor
3c93a3a8-2cee-4381-8b96-2d9de5aee879	47f923de-addc-4014-9b5c-cd4184933ec3.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-FE-A234	TCGA-FE-A234-01A	Primary Tumor
2008d543-6a10-4314-8c40-4f4d18f71d28	6a97f265-9602-4a22-862f-c9c5c2d4adcf.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-EM-A3AI	TCGA-EM-A3AI-01A	Primary Tumor
66eadf38-4ba9-49fb-ba87-4411a252f7bf	28da87d8-0ac9-4a62-9591-67a713bfe4e7.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-EL-A3MZ	TCGA-EL-A3MZ-01A	Primary Tumor
168c1b35-05bf-41e1-941c-ffc8d22eff5b	780fac28-349b-4415-84df-e64944d0cc00.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-DJ-A4UL	TCGA-DJ-A4UL-01A	Primary Tumor
b973b187-d901-4fdc-96ad-37b5150972aa	69762ef6-0a87-4a88-94c6-1ed4519ba70e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-DJ-A4UQ	TCGA-DJ-A4UQ-01A	Primary Tumor
79050e6d-970b-450d-8cb6-617f83072689	9cdf31d0-57bd-4aa0-bb3a-76d8818469ba.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-EL-A4K6	TCGA-EL-A4K6-01A	Primary Tumor
