File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
80053ba7-6f55-403c-a7c8-45174fe5138c	abfb91c5-3ab6-4320-bb99-6636dfb36316.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-EL-A3H2	TCGA-EL-A3H2-11A	Solid Tissue Normal
2e2ef460-187d-48dd-bfa2-d17b8c7f8a46	98a09380-3517-4581-8b9e-618451a8d1f6.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-EL-A3ZG	TCGA-EL-A3ZG-11A	Solid Tissue Normal
72d5e037-9d62-42c6-9267-d501e0252fd8	e2625ac8-fb82-4568-b71c-ecad98eb166a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-BJ-A3PU	TCGA-BJ-A3PU-11A	Solid Tissue Normal
fed1f0b5-cd64-46e2-94b8-f15a8d50b78d	a95698a9-7195-4a71-b09b-eb22cd9bc110.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-EL-A3ZK	TCGA-EL-A3ZK-11A	Solid Tissue Normal
8a33ec47-4950-45d7-9cf7-000832b3e37b	6fea21ba-954d-4dfa-9d73-8e98cc946713.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-H2-A2K9	TCGA-H2-A2K9-11A	Solid Tissue Normal
5b09b281-03fe-45aa-8f5a-9a0a5bc2fccb	4b3cd398-e205-4fe3-9c42-4827b390372d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-ET-A2N5	TCGA-ET-A2N5-11B	Solid Tissue Normal
a78a9db9-69cc-4601-a1f1-8e25cd8c2147	8c6beb2d-3494-4454-a345-1aa05d5f94b3.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-EL-A3MY	TCGA-EL-A3MY-11A	Solid Tissue Normal
5d743ce9-b110-4ada-bfc5-6145ee7e5bf1	a0ffeb2a-fcb8-494b-8fc0-4c4de8e4e140.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-GE-A2C6	TCGA-GE-A2C6-11A	Solid Tissue Normal
975ed1ca-4f35-4e24-a7da-f89040abe874	97e0294b-ea61-4833-b121-10426c6fb0f9.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-EL-A3T6	TCGA-EL-A3T6-11A	Solid Tissue Normal
8e5471fd-ba78-4982-8392-62ba33881cf6	895bdbb0-c3f5-40a3-8b8c-81c7a0d86a86.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-EL-A3H7	TCGA-EL-A3H7-11A	Solid Tissue Normal
